Film,Genre,Rotten Tomatoes Ratings %,Audience Ratings %,Budget (million $),Year of release
I'm Still Here,Comedy,52,38,0,2010
Imagine That,Comedy,38,44,55,2009
In the Land of Women,Comedy,43,72,10,2007
It's Complicated,Comedy,56,63,85,2009
Jack and Jill,Comedy,4,59,79,2011
Jennifer's Body,Comedy,42,37,16,2009
Johnny English Reborn,Comedy,38,55,45,2011
Juno,Comedy,94,89,8,2007
Just Wright,Comedy,45,58,12,2010
Knocked Up,Comedy,91,83,33,2007
Leap Year,Comedy,21,49,19,2010
Leatherheads,Comedy,52,41,58,2008
Letters to Juliet,Comedy,40,62,30,2010
License to Wed,Comedy,8,55,35,2007
Life as We Know It,Comedy,28,62,38,2010
Little Fockers,Comedy,9,40,100,2010
Love & Other Drugs,Comedy,48,55,30,2010
Mad Money,Comedy,22,51,22,2008
Made of Honor,Comedy,13,61,40,2008
Mamma Mia!,Comedy,53,76,66,2008
Marley and Me,Comedy,63,77,55,2008
Marmaduke,Comedy,9,46,50,2010
Meet the Spartans,Comedy,2,31,30,2008
Miss Pettigrew Lives for a Day,Comedy,78,70,60,2008
Morning Glory,Comedy,54,54,40,2010
Mr. Popper's Penguins,Comedy,47,54,55,2011
My Best Friend's Girl,Comedy,14,51,20,2008
My Life in Ruins,Comedy,9,43,17,2009
Nanny McPhee Returns,Comedy,77,54,35,2010
Nick and Norah's Infinite Playlist,Comedy,73,67,10,2008
No Reservations,Comedy,39,64,28,2007
No Strings Attached,Comedy,49,57,25,2011
Norbit,Comedy,9,56,60,2007
Observe and Report,Comedy,51,40,18,2009
Old Dogs,Comedy,5,49,35,2009
Our Family Wedding,Comedy,14,49,0,2010
Our Idiot Brother,Comedy,68,79,5,2011
Over Her Dead Body,Comedy,15,47,10,2008
Paul,Comedy,72,70,40,2011
Penelope,Comedy,52,74,15,2008
Piranha 3-D,Comedy,74,45,24,2010
"Pirate Radio (The Boat that Rocked, UK)",Comedy,60,72,50,2009
Please Give,Comedy,88,62,3,2010
Post Grad,Comedy,7,31,15,2009
Role Models,Comedy,77,75,28,2008
Semi-Pro,Comedy,21,41,3,2008
Sex and the City,Comedy,49,81,58,2008
Sex and the City 2,Comedy,15,49,100,2010
She's Out of My League,Comedy,57,60,20,2010
Smart People,Comedy,50,41,7,2008
Solitary Man,Comedy,81,47,15,2009
Soul Men,Comedy,45,42,0,2008
Step Brothers,Comedy,54,68,65,2008
Sunshine Cleaning,Comedy,72,59,5,2008
Superbad,Comedy,88,87,20,2007
Superhero Movie,Comedy,15,36,65,2008
Swing Vote,Comedy,36,44,20,2008
Take Me Home Tonight,Comedy,28,46,25,2011
Taking Woodstock,Comedy,48,48,29,2009
The Back-up Plan,Comedy,20,47,35,2010
The Big Year,Comedy,38,62,41,2011
The Change Up,Comedy,24,53,52,2011
The Dilemma,Comedy,23,31,70,2011
The Game Plan,Comedy,27,75,22,2007
The Hangover,Comedy,79,87,35,2009
The Hangover Part II,Comedy,35,58,80,2011
The Heartbreak Kid,Comedy,30,41,60,2007
The House Bunny,Comedy,39,54,25,2008
The Informant!,Comedy,78,42,22,2009
The Invention of Lying,Comedy,56,47,19,2009
The Joneses,Comedy,61,47,10,2011
The Kids Are All Right,Comedy,94,72,4,2010
The Longshots,Comedy,39,39,30,2008
The Love Guru,Comedy,14,38,62,2008
The Men Who Stare at Goats,Comedy,52,43,25,2009
The Muppets,Comedy,97,87,45,2011
The Nanny Diaries,Comedy,33,52,20,2007
The Proposal,Comedy,43,74,40,2009
The Simpsons Movie,Comedy,90,78,75,2007
The Sitter,Comedy,22,43,25,2011
The Switch,Comedy,52,44,19,2010
The Ugly Truth,Comedy,14,68,38,2009
Tooth Fairy,Comedy,16,46,48,2010
Tower Heist,Comedy,68,61,75,2011
Tropic Thunder,Comedy,83,69,90,2008
Vacancy,Comedy,55,46,19,2007
Valentine's Day,Comedy,17,54,52,2010
Vampires Suck,Comedy,4,32,20,2010
Walk Hard: The Dewey Cox Story,Comedy,75,55,35,2007
We Bought a Zoo,Comedy,63,79,50,2011
"Welcome Home, Roscoe Jenkins",Comedy,24,64,35,2008
What Happens in Vegas,Comedy,28,72,35,2008
What's Your Number,Comedy,24,50,20,2011
Whatever Works,Comedy,50,63,15,2009
When in Rome,Comedy,15,44,0,2010
Why Did I Get Married Too?,Comedy,27,67,20,2010
Wild Hogs,Comedy,14,72,90,2007
Yes Man,Comedy,43,72,70,2008
Yogi Bear,Comedy,14,36,80,2010
You Again,Comedy,18,45,20,2010
You Don't Mess with the Zohan,Comedy,36,50,80,2008
You Will Meet a Tall Dark Stranger,Comedy,43,35,22,2010
Your Highness,Comedy,26,36,50,2011
Youth in Revolt,Comedy,68,52,18,2009
Zookeeper,Comedy,14,42,80,2011
